,Date,Price
1015,2015-10-12,248.47
1016,2015-10-13,249.32
1017,2015-10-14,253.51
1018,2015-10-15,256.21
1019,2015-10-16,261.38
1020,2015-10-17,270.02
1021,2015-10-18,267.92
1022,2015-10-19,264.92
1023,2015-10-20,269.08
1024,2015-10-21,269.8
1025,2015-10-22,273.23
1026,2015-10-23,277.64
1027,2015-10-24,281.72
1028,2015-10-25,290.17
1029,2015-10-26,285.39
1030,2015-10-27,293.4
1031,2015-10-28,301.68
1032,2015-10-29,310.62
1033,2015-10-30,325.42
1034,2015-10-31,323.74
1035,2015-11-01,318.74
1036,2015-11-02,336.06
1037,2015-11-03,382.99
1038,2015-11-04,447.05
1039,2015-11-05,400.66
1040,2015-11-06,372.65
1041,2015-11-07,384.5
1042,2015-11-08,383.67
1043,2015-11-09,376.16
1044,2015-11-10,366.71
1045,2015-11-11,316.65
1046,2015-11-12,328.21
1047,2015-11-13,334.54
1048,2015-11-14,334.98
1049,2015-11-15,329.09
1050,2015-11-16,322.52
1051,2015-11-17,335.43
1052,2015-11-18,335.34
1053,2015-11-19,332.58
1054,2015-11-20,320.96
1055,2015-11-21,326.23
1056,2015-11-22,325.78
1057,2015-11-23,324.43
1058,2015-11-24,323.65
1059,2015-11-25,324.54
1060,2015-11-26,343.4
1061,2015-11-27,355.99
1062,2015-11-28,356.51
1063,2015-11-29,362.35
1064,2015-11-30,376.91
1065,2015-12-01,368.63
1066,2015-12-02,357.02
